TYPE_OF_CANCER_ID	CANCER_NAME
pth	ParathyroidCancer
pthc	ParathyroidCarcinoma
ptld	PosttransplantLymphoproliferativeDisorders
ptpr	PapillaryTumorofthePinealRegion
pv	PolycythemiaVera
pvmf	PolycythaemiaVeraMyelofibrosis
pxa	PleomorphicXanthoastrocytoma
raml	RenalAngiomyolipoma
ras	Radiation-AssociatedSarcoma
rbl	Retinoblastoma
rcc	RenalCellCarcinoma
rcsnos	RoundCellSarcoma,NOS
rcyc	RefractoryCytopeniaofChildhood
rdd	Rosai-DorfmanDisease
read	RectalAdenocarcinoma
rgnt	Rosette-formingGlioneuronalTumoroftheFourthVentricle
rhm	RhabdoidMeningioma
rlclc	LargeCellLungCarcinomaWithRhabdoidPhenotype
rms	Rhabdomyosarcoma
rnet	RenalNeuroendocrineTumor
rocy	RenalOncocytoma
rscc	RenalSmallCellCarcinoma
rwdnet	Well-DifferentiatedNeuroendocrineTumoroftheRectum
saad	SalivaryAdenocarcinoma
saca	SalivaryCarcinoma
sarcl	SarcomatoidCarcinomaoftheLung
sarcnos	Sarcoma,NOS
sbc	SmallBowelCancer
sbl	Sialoblastoma
sblu	SplenicB-CellLymphoma/Leukemia,Unclassifiable
sbmov	SerousBorderlineOvarianTumor,Micropapillary
sbov	SerousBorderlineOvarianTumor
sbwdnet	SmallBowelWell-DifferentiatedNeuroendocrineTumor
scb	SarcomatoidCarcinomaoftheUrinaryBladder
scbc	SmallCellBladderCancer
scce	SmallCellCarcinomaoftheCervix
sccnos	SquamousCellCarcinoma,NOS
scco	SmallCellCarcinomaoftheOvary
sccrcc	RenalClearCellCarcinomawithSarcomatoidFeatures
scemu	SignetRingMucinousCarcinoma
scgbc	SmallCellGallbladderCarcinoma
scgbm	SmallCellGlioblastoma
schw	Schwannoma
sclc	SmallCellLungCancer
scoah	SpindleCellOncocytomaoftheAdenohypophysis
scos	SmallCellOsteosarcoma
scrms	SpindleCellRhabdomyosarcoma
scsrms	SpindleCell/SclerosingRhabdomyosarcoma
scst	SexCordStromalTumor
sct	SteroidCellTumor,NOS
scup	SmallCellCarcinomaofUnknownPrimary
sdca	SalivaryDuctCarcinoma
sdrpl	SplenicDiffuseRedPulpSmallB-CellLymphoma
seba	SebaceousCarcinoma
sebvtlc	SystemicEBVPositiveT-CellLymphomaofChildhood
secos	SecondaryOsteosarcoma
sef	SclerosingEpithelioidFibrosarcoma
selt	SellarTumor
sem	Seminoma
sft	SolitaryFibrousTumor/Hemangiopericytoma
sftcns	SolitaryFibrousTumoroftheCentralNervousSystem
sgad	SweatGlandAdenocarcinoma
sgo	SalivaryGlandOncocytoma
sgttl	SalivaryGland-TypeTumoroftheLung
sic	SmallIntestinalCarcinoma
skac	SkinAdnexalCarcinoma
skcm	CutaneousMelanoma
skcn	CongenitalNevus
skin	Skin
sklmm	LentigoMalignaMelanoma
slct	Sertoli-LeydigCellTumor
sm	SystemicMastocytosis
smahn	SystemicMastocytosiswithanAssociatedHematologicalNeoplasm
smmcl	MastCellLeukemia
smn	SmoothMuscleNeoplasm,NOS
smzl	SplenicMarginalZoneLymphoma
sna	SinonasalAdenocarcinoma
snsc	SinonasalSquamousCellCarcinoma
snuc	SinonasalUndifferentiatedCarcinoma
soc	SerousOvarianCancer
soft_tissue	SoftTissue
spb	SolitaryPlasmacytomaofBone
spc	SolidPapillaryCarcinomaoftheBreast
spcc	SpindleCellCarcinomaoftheLung
spdac	PoorlyDifferentiatedCarcinomaoftheStomach
spir	Spiroma/Spiradenoma
spn	SolidPseudopapillaryNeoplasmofthePancreas
sptcl	SubcutaneousPanniculitis-LikeT-CellLymphoma
spzm	SpitzoidMelanoma
srap	SignetRingCellTypeoftheAppendix
srcbc	Plasmacytoid/SignetRingCellBladderCarcinoma
srcc	SarcomatoidRenalCellCarcinoma
srccr	SignetRingCellAdenocarcinomaoftheColonandRectum
ss	SezarySyndrome
ssm	SmolderingSystemicMastocytosis
ssrcc	SignetRingCellCarcinomaoftheStomach
stad	StomachAdenocarcinoma
stas	AdenosquamousCarcinomaoftheStomach
stmyec	SoftTissueMyoepithelialCarcinoma
stomach	Esophagus/Stomach
stsc	SmallCellCarcinomaoftheStomach
sube	Subependymoma
swdnet	Well-DifferentiatedNeuroendocrineTumorsoftheStomach
syns	SynovialSarcoma
tac	TubularAdenomaoftheColon
tam	TransientAbnormalMyelopoiesis
taml	Therapy-RelatedAcuteMyeloidLeukemia
tcca	Choriocarcinoma
teos	TelangiectaticOsteosarcoma
testis	Testis
tet	ThymicEpithelialTumor
tgct	TenosynovialGiantCellTumorDiffuseType
thap	AnaplasticThyroidCancer
thfo	FollicularThyroidCancer
thhc	HurthleCellThyroidCancer
thme	MedullaryThyroidCancer
thpa	PapillaryThyroidCancer
thpd	PoorlyDifferentiatedThyroidCancer
thrlbcl	T-Cell/Histiocyte-RichLargeB-CellLymphoma
thyc	ThymicCarcinoma
thym	Thymoma
thymus	Thymus
thyroid	Thyroid
tlgl	T-CellLargeGranularLymphocyticLeukemia
tll	T-LymphoblasticLeukemia/Lymphoma
tlym	TesticularLymphoma
tmds	Therapy-RelatedMyelodysplasticSyndrome
tmeso	TesticularMesothelioma
tmn	Therapy-RelatedMyeloidNeoplasms
tmt	TeratomawithMalignantTransformation
tnet	ThymicNeuroendocrineTumor
tpll	T-CellProlymphocyticLeukemia
trcc	Translocation-AssociatedRenalCellCarcinoma
tscst	SexCordStromalTumor
tstad	TubularStomachAdenocarcinoma
tt	Teratoma
tyst	YolkSacTumor
ua	UrachalAdenocarcinoma
uad	UrethralAdenocarcinoma
uas	UterineAdenosarcoma
uasc	UterineAdenosquamousCarcinoma
uca	UrethralCancer
ucca	Choriocarcinoma
uccc	UterineClearCellCarcinoma
ucec	EndometrialCarcinoma
ucp	UndifferentiatedCarcinomaofthePancreas
ucs	UterineCarcinosarcoma/UterineMalignantMixedMullerianTumor
ucu	UrethralUrothelialCarcinoma
uddc	UterineDedifferentiatedCarcinoma
udmn	UndifferentiatedMalignantNeoplasm
uec	UterineEndometrioidCarcinoma
uelms	UterineEpithelioidLeiomyosarcoma
uesl	UndifferentiatedEmbryonalSarcomaoftheLiver
ulm	UterineLeiomyoma
ulms	UterineLeiomyosarcoma
um	UvealMelanoma
umc	UterineMucinousCarcinoma
umec	UterineMixedEndometrialCarcinoma
umlms	UterineMyxoidLeiomyosarcoma
umnc	UterineMesonephricCarcinoma
unec	UterineNeuroendocrineCarcinoma
upa	UrothelialPapilloma
updc	PoorlyDifferentiatedCarcinomaoftheUterus
upecoma	UterinePerivascularEpithelioidCellTumor
urca	UrachalCarcinoma
urcc	UnclassifiedRenalCellCarcinoma
urmm	MucosalMelanomaoftheUrethra
usarc	UterineSarcoma/Mesenchymal
usc	UterineSerousCarcinoma/UterinePapillarySerousCarcinoma
uscc	UrethralSquamousCellCarcinoma
usmt	UterineSmoothMuscleTumor
ustad	UndifferentiatedStomachAdenocarcinoma
ustump	UterineSmoothMuscleTumorofUncertainMalignantPotential
uterus	Uterus
utuc	UpperTractUrothelialCarcinoma
uuc	UterineUndifferentiatedCarcinoma
uus	UndifferentiatedUterineSarcoma
va	VaginalAdenocarcinoma
vdys	Dysgerminoma
vgce	VilloglandularAdenocarcinomaoftheCervix
vgct	GermCellTumoroftheVulva
vimt	ImmatureTeratoma
vma	MucinousAdenocarcinomaoftheVulva/Vagina
vmgct	MixedGermCellTumor
vmm	MucosalMelanomaoftheVulva/Vagina
vmt	MatureTeratoma
voec	EmbryonalCarcinoma
vpdc	PoorlyDifferentiatedVaginalCarcinoma
vpe	Polyembryoma
vpscc	VerrucousPenileSquamousCellCarcinoma
vsc	SquamousCellCarcinomaoftheVulva/Vagina
vulva	Vulva/Vagina
vyst	YolkSacTumor
wdls	Well-DifferentiatedLiposarcoma
wdtc	Well-DifferentiatedThyroidCancer
wm	WaldenstromMacroglobulinemia
wpscc	WartyPenileSquamousCellCarcinoma
wt	Wilms'Tumor
